Superhelden,AA,AB,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX
Action,... rote Rose anstecken,An ... mit Hörtrichter lauschen,... buzzern,Gegen ... rappen,Vor ... strippen,... mit Sand bewerfen,... hypnotisieren,Cap auf ... werfen,Mit ... dirigieren,... in den Mund nehmen,Auf ... Rauchringe pusten,... abnabeln,Auf ... twerken,Auf ... rumklimpern,... an Döner Spieß braten,... mit Nagelfeile feilen,Von ... zerquetscht werden,... aus Zylinder hervorzaubern,... parfümieren,... flicken,... an Baum aufhängen,Mit ... moon walken,... in Alufolie einwickeln
Object,Rote Rosen,Hörtrichter,Buzzer,Spaghetti,Unterhemd,Sandsack,Kontaktlinsen,Cap,Dirigierstab,Lolli,Joint,Rippe,Arsch,Flügel,Dönerspieß,Nagelfeile,Diamant,Zylinder,Parfüm,Zerrissene Jeans,Baum,Praline,Aluhut
Staka,NA,NB,ND,NE,NF,NG,NH,NI,NJ,NK,NL,NM,NN,NO,NP,NQ,NR,NS,NT,NU,NV,NW,NX
Person,Agnes,Benedikt (Trouw),Daniel (Metzemacher),Evelyn (Roh),Flo (von Loh),Gabi (Fröhlich),Holger,Nisie,Joshua,Katharina,Lorenz,Marlena,Nadine,Phil,Patrick,(Martin) Schmidl,Ronny,Susi,Tabea,Ulli,Volkmar,(Maxi) Wimmer,(Franzi Zapf)
Action,... wie Querflöte spielen,... aus Geldautomaten erhalten,Auf ... Karte werfen,... mit Eierschneider schneiden,... mit Faustschlag begrüßen,Auf ... zeigen,Mit Sirene auf dem Kopf um ... laufen,... mit Degen aufspießen,Mit ... Triangel anspielen,... in Kinderwagen schieben,... durch Turbine schreddern,... mit Kronkorken bekleben,Torte auf ... werfen,Aus ... Dudelsack machen,... wie Paarbecken spielen,Mit Ski auf ... landen,... aus Tuba pusten,... mit Zahnbürste bürsten,... mit Kissen schlagen,... mit Saxophon schlagen,... in Aquarium beobachten,Mit ... Shisha rauchen,... mit Fingernägeln kratzen
Object,Querflöte,Geldautomat,Karten,Eierschneider,Xylophon,USB-Stick,Sirene,Degen,Triangel,Kinderwagen,Turbine,Kronkorken,Sachertorte,Dudelsack,Paarbecken,Ski,Tuba,Elektrische Zahnbürste,Kissen,Saxophon,Aquarium,Shisha,Fingernägel
Schauspieler,OA,OB,OD,OE,OF,OG,OH,OI,OJ,OK,OL,OM,ON,OO,OP,OQ,OR,OS,OT,OU,OV,OW,OX
Person,Adam (Sandler),Brad (Pitt),Daniel (Craig),Elias (M'Barek),Florence (Pugh),George (Clooney),Hugh (Laurie),Ian (McKellen),Johnny (Depp),Keanu (Reeves),Leonardo (Dicaprio),Matt (Damon),Natalie (Portman),Otto (Waalkes),Peter (Lustig),(Charlie) Sheen,Rowan (Atkinson),Scarlett (Johansson),Tom (Hanks),Uschi (Glas),Vin (Diesel),Will (Smith),(Zendaya)
Action,... Rutsche runter schubsen,... mit pinker Seife einseifen,... als Bombe entschärfen,... mit Paintball Gewehr abschießen,... Kranz aufsetzen,... mahlen,... nachladen,... mit Lichtkugel abwehren,... mit Kompass orten,Auf ... Handstand machen,Auf ... Dollarscheine zuwerfen,... schälen,... auf Herdplatte erhitzen,... nicht fangen (fliegt davon mit Flügeln),... ausrupfen (hat Wurzeln),... massieren,... in Truthahn reinstecken,... Kondom überziehen,... High-Five geben,... tackern,... wie Motor starten (durch ziehen),... blitzdingsen,... mit Pinzette zupfen
Object,Rutsche,Pinke Seife,Martini,Paintball Gewehr,Blumenkranz,Kaffeemaschine,Magazin (Pistole),Gandalfs Stab,Kompass,Blaue/Rote Pille,Dollarscheine,Kartoffel,Herdplatte,Flügelhut,Löwenzahn,Unterhose,Truthahn,Kondom,Shrimps,Tacker,Dieselmotor,Blitzdings,Pinzette
Politiker,PA,PB,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX
Person,Amthor,Baerbock,Dobrindt,Erdogan,Friedrich (Merz),Gauland,Hofreiter,Ivanka (Trump),Johnson,Kim (Jong Un),Lauterbach,Merkel,Nahles,Obama,Putin,Scholz,Röttgen,Söder,Trump,Ursula (von der Leyen),Viktor (Orban),Weidel,Xi (Jinping)
Action,... mit Rückenkratzer kratzen,... auf Grillrost grillen,... umbowlen,... ficken,Mit ... debattieren,... einbetonieren,... anbrüllen,... aus Mausefalle lösen,Auf ... defäkieren,Vor ... salutieren,... impfen,Mit ... Selfie machen,Briefmarke an ... befestigen,... auf Bobbycar anschieben,... pfählen,... ignorieren,Von ... Herzschlag messen,... aus Bierkrug trinken,Auf ... urinieren,... mit Klobürste abschrubben,... mit Bohrmaschine bohren,... mit Schere zerschneiden,... mit Eiern bewerfen
Object,Rückenkratzer,Vegane Wurst,Bowlingkugel,Ziege,Lavalampe,Betonmischer,Bambusrohr,Mausefalle,Tee,Atombombe,Spritze,Papagei,Briefmarke,Bobbycar,Pfahl,Ampel,Stethoskop,Bierkrug,Toilette,Klobürste,Bohrmaschine,Schere,Ei
Schule,QA,QB,QD,QE,QF,QG,QH,QI,QJ,QK,QL,QM,QN,QO,QP,QQ,QR,QS,QT,QU,QV,QW,QX
Person,Ashley Amegan,Basti (Fendt),David (Simml),Elias (Schanderl),(Herr) Fries,(Frau) Gawron,(Niklas) Hoffmann,Isabel (Reukauf),Jakob (Kurz),(Markus) Karner,Lena (Sammüller),Maximilian Milde,Natalie (Beck),(Jonas) Ohnemus,(Johanna) Preuschoff,Qendrim (Zejnullahu),(Andreas) Robeller,Sami (Neifar),Tom (Voxbrunner),(Marcel) Ullersperger,(Jan-Hendrik) von (Loh),(Julia) Wölfl,(Yannik Wenk)
Action,... an Kleiderbügel aufhängen,... auf Spieß über Lagerfeuer braten,Dose öffnen und ... erhalten,... mit Defibrillator schocken,Auf ... Salz streuen,... mit Staubsauger aufsaugen,... toasten,Für ... eine Rede halten,... mit Nagellack lackieren,... auslachen,Um ... tanzen,... mähen,Auf ... mit Händen halt finden,Auf ... was pflanzen,... einen Piercing machen,... mit Zange quetschen,... wegschubsen,... präsentieren (Powerpoint),... chipsessend beobachten,... anfurzen,Gegen ... demonstrieren,... mit Rettungsring retten,... abstauben
Object,Kleiderbügel,Lagerfeuer,Dosenravioli,Defibrillator,Salzstreuer,Staubsauger,Toast,Rednerpult,Nagellack,Zahnspange,Polestange,Rasenmäher,Magnesium Sack,Topfpflanze,Jojo,Zange,Lenkrad,Papiertüte mit Löchern,Chipstüte,Furzkissen,Klarinette,Rettungsring,Staubwedel
Historisch,RA,RB,RD,RE,RF,RG,RH,RI,RJ,RK,RL,RM,RN,RO,RP,RQ,RR,RS,RT,RU,RV,RW,RX
Person,Adenauer,Bismarck,Diogenes,Erwin (Rommel),Fidel (Castro),(Hermann) Göring,Hitler,(Björn) Ironside,Julius (Caesar),Karl (Marx),Lenin,Mussolini,Napoleon,Osama (bin Laden),Pharao,Queen (Elizabeth),Ronald Reagan,Stalin,(Margaret) Thatcher,(Rasputin),(Queen) Victoria,Washington,(T-Rex)
Action,In ... Knochen finden,... guillotinieren,... mit Holzfass überrollen,... eisernes Kreuz verleihen,... zuwinken,... einrahmen,... Hitler Grüßen,... aus Bärenfalle befreien,Genau auf ... würfeln,... in ein tiefes Loch werfen,... an Rechenschieber hin und her schieben,... an Galgen hängen,... hinter Pferd schleifen,... mit AK-47 beschießen,... einbandagieren,... applaudieren,... mit Spurs kicken,An ... Schnurrbart kleben,... in eiserne Jungfrau stecken,... mit Lupe betrachten,... krönen,An ... anklopfen,... auspacken
Object,Chickenwing,Guillotine,Holzfass,Eisernes Kreuz,Zigarre,Altes Bild,Hakenkreuzbinde,Bärenfalle,Würfel,Brot,Rechenschieber,Marmorblock,Pferd,AK-47,Pyramide,Handtasche,Spurs,Schnurrbart,Eiserne Jungfrau,Lupe,Krone,Tür,Geschenk
Sportler,SA,SB,SD,SE,SF,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SP,SQ,SR,SS,ST,SU,SV,SW,SX
Person,Adam (Ondra),Bautista,Djokovic,Eishockey (Spieler) (Esposito),Floyd (Mayweather),Gronkowski,Hamilton,Ibrahimovic,John (Cena),Khabib,Lance (Armstrong),Magnus (Carlsen),Neuer,O'Sullivan,Phelps,Schweinsteiger,Reinhold (Messner),Steph (Curry),Tiger (Woods),Usain (Bolt),Verstappen,William (Trubridge),(Peter Wright)
Action,... mit Seil heranziehen,... fangen mit Baseballhandschuh,Mit ... Aufschlag machen,... mit Eishockeyschläger schießen,... als Boxsack nutzen,... tackeln,... betanken,... mit Fußball abschießen,Mit ... wrestlen,Mit ... Bizepscurls machen,... Infusion geben,... analysieren,... ausdribbeln,... wie Snooker Ball mit Queue stoßen,Vor ... weghechten,... wie Pokal in die Höhe strecken,Auf ... balancieren,... in Basketballkorb dunken,... in Golfloch putten,... mit Spikes treten,... mit Wagenheber anheben,Auf ... Bauchplatscher machen,... mit Darts bewerfen
Object,Seil,Baseballhandschuh,Tennisschläger,Eishockeyschläger,Boxhandschuhe,Football,F1-Auto,Fußball,Wrestling Gürtel,Zeitung,Infusionssack,Schachbrett,Tor,Queue,Schwimmbrille,WM-Pokal,Steigeisen,Basketballkorb,Golfschläger,Spikes,Reifenheber,Neoprenanzug,Darts
Tiere,TA,TB,TD,TE,TF,TG,TH,TI,TJ,TK,TL,TM,TN,TO,TP,TQ,TR,TS,TT,TU,TV,TW,TX
Person,Affe,Bär,Dachs,Ente,Fisch,Geier,Hase,Igel,Jaguar,Kamel,Languste,Maus,Nashorn,Otter,Pelikan,Schlange,Rotkehlchen,Spinne,Tintenfisch,Uhu,Vampirfledermaus,Wal,(Weißer Hai)
Action,... stehlen und weglaufen,Auf ... Würmer streuen,... mit Rasierschaum einsprühen,Mit ... in Badewanne baden,... keschern,... aufpusten,Mit ... kuscheln,... an die Wand nageln,Aus ... Saft herauspressen,Mit ... gassi gehen,Auf ... Butter verstreichen,... mit Käse anlocken,... schnitzen,... in Waschbecken waschen,... mit Feder kitzeln,... in Gürtel zwängen,... in Vogelnest legen,Auf ... springen,... mit Tinte bekleckern,... anpfeifen,... ausweichen,... mit Harpune abschießen,Auf ... surfen
Object,Banane,Parasit (Wurm),Rasierschaum,Badeente,Kescher,Kugelfisch,Kuscheltier (Hase),Nagel,Mango,Palme,Butter,Käse,Elfenbein,Waschbecken,Feder,Gürtel,Vogelscheuche,Fliege,Tintenfass,Gewölle,Knoblauch,Harpune,Surfbrett
Uni,UA,UB,UD,UE,UF,UG,UH,UI,UJ,UK,UL,UM,UN,UO,UP,UQ,UR,US,UT,UU,UV,UW,UX
Person,Albert (Einstein),Bibel,Deckert,Eero,Feynman,Grusdt,Hannah (Behrens),Iosif (Petrakis),Julian (Sommer),Kespesidis,Lesch,Marius,Newton,Oleg,Pickl,Schollwöck,Röntgen,Stephen (Hawking),(Neil deGrasse) Tyson,(Thomas) Udem,(Jan) von (Delft),Werner (Heisenberg),(Marie Curie)
Action,Mit ... unterrichten,Auf ... einschlafen,... enthüllen,... mit Bleistift sketchen,... mit Kreide bewerfen,... föhnen,Auf ... paddeln,... mit Wischmop abwischen,Auf ... E-Gitarre verdreschen,Lockenwickler an ... anbringen,Auf ... Fernseher fallen lassen,... als Geige nutzen,In ... hineinbeißen,... in Matruschka finden,... in Glas konservieren,... radieren,... röntgen,... in Rollstuhl schieben,... durch Fernrohr beobachten,Auf ... niesen,... mit iPad fotografieren,... mit Teppichklopfer ausklopfen,... mit Geigerzähler messen
Object,Tafel,Luftmatratze,Decke,Bleistiftspitzer,Kreide,Föhn,Paddel,Wischmop,E-Gitarre,Lockenwickler,Fernseher,Geige,Apfel,Matruschka,Essiggurke,Radiergummi,Röntgengerät,Rollstuhl,Fernrohr,Rotes T-Shirt,iPad,Teppichklopfer,Geigerzähler
Berühmt (VIP),VA,VB,VD,VE,VF,VG,VH,VI,VJ,VK,VL,VM,VN,VO,VP,VQ,VR,VS,VT,VU,VV,VW,VX
Person,Amy (Schumer),Bill (Gates),Drosten,Elon (Musk),(Papst) Franziskus,Gandhi,Hugh Hefner,Immanuel (Kant),Jan (Böhmermann),(Stephen) King,(Astrid) Lindgren,Meghan Markle,Neil (Armstrong),Oprah (Winfrey),Pablo (Escobar),Shaq,Robert (Bob) Ross,Sasha (Grey),Trevor (Noah),(Beate) Uhse,Vincent Van (Gogh),William (Shakespeare),(Mark Zuckerberg)
Action,Auf ... spucken,... (gefroren) zerbrechen,Von ... Corona Test machen,... hochschleudern,... mit Papamobil rammen,Mit ... im Schoß meditieren,... watschen,... durch Fleischwolf pressen,... eine rote Karte zeigen,Mit ... sich Beine wachsen,An ... riechen,Auf ... weinen,Auf ... knien,... mit Schneebesen umrühren,... in Paket liefern,... in Wasserflasche stecken,... mit Pinsel anmalen,... in Taschenmuschi stecken,... filmen,... einführen,Ohr mit ... ersetzen,... auf Kopf balancieren,... an die Decke kleben
Object,Trockenhaube,Ming Vase,FFP2 Maske,Rakete,Papamobil,Orangenes Tuch,Nackte Frau,Mettigel,Ausweis,Barbiepuppe,Bullar,Sturmhaube,Raumanzug,Schneebesen,Kokain Paket,Wasserflasche,Pinsel,Taschenmuschi,Kamera,Dildo,Ohr,Totenkopf,Echse
Star Wars,WA,WB,WD,WE,WF,WG,WH,WI,WJ,WK,WL,WM,WN,WO,WP,WQ,WR,WS,WT,WU,WV,WW,WX
Person,Anakin (Skywalker),Boba (Fett),(Count) Dooku,Ewok,Finn,General Grievous,Han (Solo),Imperator,Jar Jar (Binks),Kylo (Ren),Leia (Organa),(Darth) Maul,Nien Nunb,Obi (Wan Kenobi),C-3PO,Qui (Gon Jinn),R2D2,Stormtrooper,Tarkin,(Yoda),(Darth) Vader,(Mace) Windu,(Chewbacca)
Action,... in Lava verbrennen,An ... Jetpack befestigen,Auf ... Battle Droids hetzen,... mit At-St zerstampfen,... wie Toilettenpapier abwischen,... in Schraubstock fixieren,... hervorziehen,... herrscherblitzen,... mit Klebeband zukleben,... mit der Macht zerquetschen,... mit Haarbürste bürsten,... rasieren,... mit Maschienengwehr durchlöchern,... ummanteln,... mit Presslufthammer zerstampfen,... wie Flugzeug umfliegen,... schweißen,An ... vorbeischießen,... in Müllpresse zerpressen,... mit Blindenstock abtasten,... mit der Macht schweben lassen,... mit Laserschwert durchstoßen,... mit Armbrust abschießen
Object,Lava,Jetpack,Battle Droid,At-St,Toilettenpapier,Schraubstock,Lego Millenium Falke,Todesstern,Klebeband,Regenbogen,Haarbürste,Rasierer,Maschinengewehr,Glider,Presslufthammer,Podracer,Platine,Stormtrooper Helm,Müllpresse,Blindenstock,Darth Vader Helm,Lila Laserschwert,Armbrust
Horror,XA,XB,XD,XE,XF,XG,XH,XI,XJ,XK,XL,XM,XN,XO,XP,XQ,XR,XS,XT,XU,XV,XW,XX
Person,Ashley,Beth,Dementor,Emily,Frankenstein,Ghostface,Hannibal (Lecter),(Jigsaw),Jason,(Freddy) Krueger,Leatherface,Michael Myers ,(The) Nun,Otto Octavius,Pennywise,(Frau in) Schwarz,Reaper,Slenderman,(Jack) Torrance,Undertaker,Vampir,Wendigo,(Predator)
Action,... mit Sägeblatt halbieren,... mit Öllampe beleuchten,... Seele aussaugen,... heraufbeschwören,... an Boden festschrauben,... zuzwinkern,... verschlucken,... mit Handsäge sägen,... auseinanderziehen,Von ... Fingerabdrücke nehmen,... mit Kettensäge zerschneiden,... mit Machete zerhacken,Vor ... beten,... mit Oktopus Arme zerreißen,Mit ... herumblödeln,... aus Sumpf ziehen,... mit Sense abmähen,... pflastern,... mit Axt zerhacken,... in einen Sarg legen,... Blut aussaugen,... mit Spitzhacke hacken,Auf ... mit Zehenspitzen laufen
Object,Sägeblatt,Öllampe,Schokoladentafel,Skelett,Schraube,Ghost Maske,Lunge,Handsäge,Hockeymaske,Abgetrennte Hand,Kettensäge,Machete,Kleines Jesuskreuz,Oktopus Arme,Rote Nase,Kutsche,Sense,Pflaster,Axt,Sarg,Blut,Spitzhacke,Tutu